Município,repeated,cod_IBGE,UF,Macrorregião
Ouro Verde,2,3534807,SP,Sudeste
Ouro Verde,2,4211850,SC,Sul
Pacatuba,2,2309706,CE,Nordeste
Pacatuba,2,2804904,SE,Nordeste
Palestina,2,2706208,AL,Nordeste
Palestina,2,3535002,SP,Sudeste
Palmas,2,1721000,TO,Norte
Palmas,2,4117602,PR,Sul
Palmeira,2,4117701,PR,Sul
Palmeira,2,4212056,SC,Sul
Palmital,2,3535309,SP,Sudeste
Palmital,2,4117800,PR,Sul
Parnamirim,2,2403251,RN,Nordeste
Parnamirim,2,2610400,PE,Nordeste
Passagem,2,2409209,RN,Nordeste
Passagem,2,2510709,PB,Nordeste
Paulista,2,2510907,PB,Nordeste
Paulista,2,2610707,PE,Nordeste
Pedra Branca,2,2310506,CE,Nordeste
Pedra Branca,2,2511004,PB,Nordeste
Pedra Preta,2,2409605,RN,Nordeste
Pedra Preta,2,5106372,MT,Centro-Oeste
Petrolândia,2,2611002,PE,Nordeste
Petrolândia,2,4212700,SC,Sul
Pilar,2,2511509,PB,Nordeste
Pilar,2,2706901,AL,Nordeste
Pilões,2,2410009,RN,Nordeste
Pilões,2,2511608,PB,Nordeste
Pinhalzinho,2,3538204,SP,Sudeste
Pinhalzinho,2,4212908,SC,Sul
Pinhão,2,2805208,SE,Nordeste
Pinhão,2,4119301,PR,Sul
Piranhas,2,2707107,AL,Nordeste
Piranhas,2,5217203,GO,Centro-Oeste
Pitangueiras,2,3539509,SP,Sudeste
Pitangueiras,2,4119657,PR,Sul
Praia Grande,2,3541000,SP,Sudeste
Praia Grande,2,4213807,SC,Sul
Prata,2,2512200,PB,Nordeste
Prata,2,3152808,MG,Sudeste
Presidente Bernardes,2,3153103,MG,Sudeste
Presidente Bernardes,2,3541208,SP,Sudeste
Presidente Dutra,2,2109106,MA,Nordeste
Presidente Dutra,2,2925600,BA,Nordeste
Presidente Juscelino,2,2109205,MA,Nordeste
Presidente Juscelino,2,3153202,MG,Sudeste
Presidente Kennedy,2,1718402,TO,Norte
Presidente Kennedy,2,3204302,ES,Sudeste
Presidente Médici,2,1100254,RO,Norte
Presidente Médici,2,2109239,MA,Nordeste
Primavera,2,1506104,PA,Norte
Primavera,2,2611408,PE,Nordeste
Queimadas,2,2512507,PB,Nordeste
Queimadas,2,2925808,BA,Nordeste
Quixaba,2,2512606,PB,Nordeste
Quixaba,2,2611533,PE,Nordeste
Redenção,2,1506138,PA,Norte
Redenção,2,2311603,CE,Nordeste
Riacho de Santana,2,2410801,RN,Nordeste
Riacho de Santana,2,2926400,BA,Nordeste
Riachuelo,2,2410900,RN,Nordeste
Riachuelo,2,2805901,SE,Nordeste
Riachão,2,2109502,MA,Nordeste
Riachão,2,2512747,PB,Nordeste
Rio Branco,2,1200401,AC,Norte
Rio Branco,2,5107206,MT,Centro-Oeste
Rio Claro,2,3304409,RJ,Sudeste
Rio Claro,2,3543907,SP,Sudeste
Rio Negro,2,4122305,PR,Sul
Rio Negro,2,5007307,MS,Centro-Oeste
Ruy Barbosa,2,2411106,RN,Nordeste
Ruy Barbosa,2,2927200,BA,Nordeste
Salgadinho,2,2513000,PB,Nordeste
Salgadinho,2,2612109,PE,Nordeste
Saltinho,2,3545159,SP,Sudeste
Saltinho,2,4215356,SC,Sul
Santa Bárbara,2,2927507,BA,Nordeste
Santa Bárbara,2,3157203,MG,Sudeste
Santa Filomena,2,2209203,PI,Nordeste
Santa Filomena,2,2612554,PE,Nordeste
Santa Isabel,2,3546801,SP,Sudeste
Santa Isabel,2,5219357,GO,Centro-Oeste
Santa Lúcia,2,3546900,SP,Sudeste
Santa Lúcia,2,4123824,PR,Sul
Santa Maria,2,2409332,RN,Nordeste
Santa Maria,2,4316907,RS,Sul
Santa Rita,2,2110203,MA,Nordeste
Santa Rita,2,2513703,PB,Nordeste
Santa Rosa de Lima,2,2806503,SE,Nordeste
Santa Rosa de Lima,2,4215604,SC,Sul
Santa Teresinha,2,2513802,PB,Nordeste
Santa Teresinha,2,2928505,BA,Nordeste
Santana,2,1600600,AP,Norte
Santana,2,2928208,BA,Nordeste
Santo André,2,2513851,PB,Nordeste
Santo André,2,3547809,SP,Sudeste
Sapucaia,2,1507755,PA,Norte
Sapucaia,2,3305406,RJ,Sudeste
Sarandi,2,4126256,PR,Sul
Sarandi,2,4320107,RS,Sul
Serrinha,2,2413508,RN,Nordeste
Serrinha,2,2930501,BA,Nordeste
Sertãozinho,2,2515930,PB,Nordeste
Sertãozinho,2,3551702,SP,Sudeste
Sobradinho,2,2930774,BA,Nordeste
Sobradinho,2,4320701,RS,Sul
Soledade,2,2516102,PB,Nordeste
Soledade,2,4320800,RS,Sul
São Bento,2,2110500,MA,Nordeste
São Bento,2,2513901,PB,Nordeste
São Carlos,2,3548906,SP,Sudeste
São Carlos,2,4216008,SC,Sul
São Francisco de Paula,2,3161205,MG,Sudeste
São Francisco de Paula,2,4318200,RS,Sul
São Gabriel,2,2929255,BA,Nordeste
São Gabriel,2,4318309,RS,Sul
São Gonçalo do Amarante,2,2312403,CE,Nordeste
São Gonçalo do Amarante,2,2412005,RN,Nordeste
São José do Divino,2,2210052,PI,Nordeste
São José do Divino,2,3163300,MG,Sudeste
São João,2,2613206,PE,Nordeste
São João,2,4124806,PR,Sul
São João Batista,2,2111003,MA,Nordeste
São João Batista,2,4216305,SC,Sul
São Martinho,2,4217105,SC,Sul
São Martinho,2,4319109,RS,Sul
São Pedro,2,2412708,RN,Nordeste
São Pedro,2,3550407,SP,Sudeste
São Sebastião,2,2708808,AL,Nordeste
São Sebastião,2,3550704,SP,Sudeste
São Simão,2,3550902,SP,Sudeste
São Simão,2,5220405,GO,Centro-Oeste
São Tomé,2,2412906,RN,Nordeste
São Tomé,2,4126108,PR,Sul
São Vicente,2,2413003,RN,Nordeste
São Vicente,2,3551009,SP,Sudeste
São Vicente Ferrer,2,2111706,MA,Nordeste
São Vicente Ferrer,2,2613800,PE,Nordeste
Tabatinga,2,1304062,AM,Norte
Tabatinga,2,3552700,SP,Sudeste
Tangará,2,2414001,RN,Nordeste
Tangará,2,4217907,SC,Sul
Tapejara,2,4126801,PR,Sul
Tapejara,2,4320909,RS,Sul
Taperoá,2,2516508,PB,Nordeste
Taperoá,2,2931202,BA,Nordeste
