cod_IBGE,IAG0001,IAG0002,IAG0003,IAG2001,IAG2002,IAG2003,IAG2010,IAG2011,IAG2012,IAG2013,IAG2016,IAG2023,IAG3001,IAG3002,IAG3003,IAG3006
4214201,72.90038623910895,86.8631848766421,55.08076058065835,40.72061808993851,94.47983734327346,99.86709313704011,43.232703851378,43.09979698841811,56.90020301158189,56.767296148622,100,1.967313674801735,42,NA,1.0330578512396693,100
4214300,52.59661835748793,85.59485530546624,23.392145702902674,65.0145226271901,86.79174484052533,99.77513351447577,75.14288391267685,74.90864799025579,25.091352009744217,24.857116087323153,100,0.6643867703551016,NA,NA,0.75,96.7741935483871
4214409,63.36288790373654,98.2250621228257,35.29579879965705,52.3674837628326,95.3704292527822,96.46623367553599,58.44332704797821,54.90956072351422,45.09043927648579,41.55667295202179,100,0.8165025490606886,NA,NA,0.9722222222222222,97.87234042553192
4214508,72.07303974221267,88.91696750902527,59.6210301574593,74.96143571992927,97.83932429778041,99.8984160427405,76.71846194363971,76.61687798638022,23.383122013619786,23.2815380563603,100,0.26908461567402836,NA,NA,1.1428571428571428,100
4214607,63.015974440894574,97.59422614274258,31.341821743388838,61.603271732111565,87.41219075875911,100,70.47446265489992,70.47446265489992,29.525537345100084,29.525537345100084,100,0.5675102241628487,NA,NA,1.0588235294117647,96.7741935483871
4214706,73.70147621651175,100,47.726861075892046,77.18843835239646,95.98666020579768,99.36507208838565,81.05072546817338,80.41579755655901,19.58420244344099,18.949274531826628,100,0.06065051458958902,NA,NA,1.0416666666666667,97
4214805,100,100,100,45.68961505015493,89.65739349876826,99.95440902315494,51.01522407436892,42.24780777463232,57.75219222536767,40.61008647054763,99.99523854870964,0.6412883664824073,42,NA,25.781512605042018,98.82697947214076
4214904,48.631535947712415,95.16994633273703,24.38645542093818,74.69887716910513,96.6115120577363,99.97278726443975,77.34603606668935,77.29777535886795,22.70222464113205,22.647799170011574,100,0.5323491393972378,NA,NA,27.88888888888889,100
4215000,93.01439991929993,92.61030631427623,97.21344441252513,72.72020047393876,100,98.7452453762292,75.94671236363506,85.58573738344228,14.414262616557732,24.053287636364935,95.73504027617952,0.685454525899928,83.85396825396825,NA,1,83.85964912280703
4215059,28.707145807517552,100,0.6332757628094415,49.36173485081514,100,100,49.36173485081514,33.15902799138726,66.84097200861274,50.63826514918487,100,0,38.9,NA,1.2,86.66666666666667
